Level of Care,FACILITY NAME,FACILITY TELEPHONE,TOWN,COUNTY,OWNERSHIP TYPE,MEDICARE CERTIFIED,MEDICAID CERTIFIED,Total Licensed Beds,Licensed CCNH Beds,Licensed CCNH Beds Occupied,Licensed RHNS Beds,Licensed RHNS Beds Occupied,CCNH Room Rate: PRIVATE (1 BED),CCNH Room Rate: SEMI-PRIVATE (2 BEDS),CCNH Room Rate: 3 - 4 BEDS,RHNS Room Rate: PRIVATE (1 BED),RHNS Room Rate: SEMI-PRIVATE (2 BEDS),RHNS Room Rate: 3 - 4 BEDS,Total number of patients,<18,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85 - 94,95 and older,Unknown age,Male,Female,Unknown gender,Married,Never married,Widowed,Separated,Divorced,Unknown marital status,White,African American,Hispanic or Latino Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Other or Unknown,Medicaid fee-for-service -- CT,Medicaid fee-for-service -- Out of state,Medicaid managed care -- Out of state,Medicaid pending -- CT,Medicaid pending -- Out of state,Medicare fee-for-service (traditional),Medicare managed care,Veterans administration,CCRC -- Life Care,Long-term care insurance --  CT Partnership for Long-Term Care,Long-Term care insurance -- Not CT Partnership,Private insurance (not long-term care),Private pay (no insurance),Unknown Payment Source,Reporting Year,Location 1
CCNH,Andrew House,(860) 225-8608,New Britain,HARTFORD,For Profit,1,1,90,90,90,0,0,433,394,,,,,90,0,0,1,0,4,6,12,26,34,7,0,30,60,0,14,14,45,1,16,0,68,11,10,1,0,0,61,0,0,6,0,14,4,0,0,0,0,1,4,0,2013,"66 Clinic Drive CT 06051- (41.64849744200046, -72.78498262499966)
New Britain, CT"
CCNH,"Paradigm Healthcare Center Prospect, LLC",(203) 758-4431,Prospect,NEW_HAVEN,For Profit,1,1,120,120,117,0,0,344,344,344,,,,117,0,1,0,0,2,7,11,24,53,19,0,29,88,0,18,10,70,0,19,0,107,5,4,1,0,0,84,0,0,6,0,14,2,0,0,0,0,0,5,6,2013,"25 Royal Crest Drive CT 06712- (41.51428573400045, -72.97292753599964)
Prospect, CT"
CCNH,Kindred Transitional Care and Rehabilitation - Parkway Pavillion,(860) 745-1641,Enfield,HARTFORD,For Profit,1,1,130,130,118,0,0,,401,386,,,,118,0,0,0,0,3,16,18,31,40,10,0,35,83,0,37,7,64,0,10,0,92,7,4,0,0,15,69,0,0,0,0,23,6,0,0,0,0,3,6,11,2013,"1157 Enfield Street CT 06082- (41.98640523600045, -72.59314383499964)
Enfield, CT"
CCNH,Fairview,(860) 445-7478,Groton,NEW_LONDON,Non-profit,1,1,120,120,117,0,0,382,340.35,,,,,117,0,0,0,0,0,2,10,23,66,16,0,26,91,0,20,7,81,0,9,0,114,1,1,0,1,0,73,0,0,2,0,13,1,0,0,0,0,0,28,0,2013,"235 Lestertown Road CT 06340- (41.372098218000474, -72.08173982399967)
Groton, CT"
CCNH,Water's Edge Center for Health and Rehabilitation,(860) 347-7286,Middletown,MIDDLESEX,For Profit,1,1,150,150,144,0,0,450,433,,,,,144,0,0,1,2,6,19,28,40,41,7,0,48,96,0,19,37,60,1,25,2,122,14,6,0,1,1,99,0,0,12,0,9,7,0,0,0,0,0,6,11,2013,"111 Church Street CT 06457- (41.5552839500005, -72.65148695899967)
Middletown, CT"
CCNH,Shady Knoll Health Center,(203) 881-2555,Seymour,NEW_HAVEN,For Profit,1,1,128,128,119,0,0,446,436,,,,,119,0,0,0,0,3,9,5,22,62,18,0,29,90,0,27,15,70,0,7,0,116,2,1,0,0,0,76,0,0,4,0,13,5,0,0,0,0,0,13,8,2013,"41 Skokorat Street CT 06483- (41.40083922200046, -73.05566332599966)
Seymour, CT"
CCNH,Spectrum Healthcare Torrington,(860) 482-8563,Torrington,LITCHFIELD,For Profit,1,1,126,126,102,0,0,,410,380,,,,102,0,0,1,1,11,12,14,22,37,4,0,41,61,0,17,31,35,0,19,0,97,3,1,1,0,0,83,0,0,2,0,10,2,0,0,0,0,2,3,0,2013,"225 Wyoming Avenue CT 06790- (41.79331387900049, -73.14133601099962)
Torrington, CT"
CCNH,"St. Joseph's Living Center, Inc.",(860) 456-1107,Windham,WINDHAM,Non-profit,1,1,120,120,107,0,0,410,385,,,,,107,0,0,0,0,0,0,7,28,53,19,0,27,80,0,22,14,60,1,10,0,105,1,0,0,1,0,62,0,0,3,0,18,8,0,0,0,0,0,16,0,2013,"14 Club Road CT 06280- (41.699176122000495, -72.15236740399968)
Windham, CT"
CCNH,Pope John Paul II Center,(203) 797-9300,Danbury,FAIRFIELD,For Profit,1,1,141,141,126,0,0,482,430,,,,,126,0,0,0,1,5,14,14,41,41,10,0,48,78,0,25,27,48,1,25,0,114,6,3,0,3,0,89,0,0,8,0,13,0,0,0,0,0,0,5,11,2013,"33 Lincoln Avenue CT 06810- (41.38420547600049, -73.45451942999966)
Danbury, CT"
CCNH,Kindred Transitional Care and Rehabilitation - Windsor,(860) 688-7211,Windsor,HARTFORD,For Profit,1,1,108,108,90,0,0,420,390,,,,,90,0,0,0,0,3,14,16,21,29,7,0,25,65,0,11,30,31,0,18,0,58,26,2,1,1,2,57,0,0,4,0,15,4,0,0,0,0,3,2,5,2013,"581 Poquonock Avenue CT 06095- (41.869265577000476, -72.65873013599963)
Windsor, CT"
CCNH,Jerome Home,(860) 229-3707,New Britain,HARTFORD,Non-profit,1,1,94,94,93,0,0,436,422,,,,,93,0,0,0,0,0,0,32,12,42,7,0,12,81,0,22,11,57,0,3,0,92,0,1,0,0,0,47,0,0,0,0,13,2,0,0,0,0,0,31,0,2013,"975 Corbin Avenue CT 06052- (41.66285487300047, -72.80520517099967)
New Britain, CT"
CCNH,Madison House,(203) 245-8008,Madison,NEW_HAVEN,For Profit,1,1,90,90,79,0,0,499,470,,,,,79,0,0,0,1,0,3,7,21,36,11,0,27,52,0,12,1,58,0,8,0,77,0,2,0,0,0,50,0,0,0,0,16,11,0,0,0,0,0,2,0,2013,"34 Wildwood Avenue CT 06443- (41.2869782410005, -72.63833402299963)
Madison, CT"
CCNH,Touchpoints at Manchester,(860) 533-3086,Manchester,HARTFORD,For Profit,1,1,131,131,123,0,0,437,421,393,,,,123,0,0,1,2,19,28,38,18,14,3,0,69,54,0,10,62,24,0,27,0,99,17,4,0,0,3,100,0,0,5,0,13,1,0,0,0,0,1,0,3,2013,"333 Bidwell Street CT 06040- (41.75951749000046, -72.54548891599967)
Manchester, CT"
CCNH,"Wolcott Hall Nursing Center, Inc.",(860) 482-8554,Torrington,LITCHFIELD,For Profit,1,1,87,87,60,0,0,430,410,390,,,,60,0,0,0,0,0,7,9,18,19,7,0,33,27,0,10,10,40,0,0,0,60,0,0,0,0,0,46,0,0,2,0,7,1,0,0,0,0,0,4,0,2013,"215 Forest Street CT 06790- (41.80891339600049, -73.12851859999967)
Torrington, CT"
CCNH,"Grove Manor Nursing Home, Inc.",(203) 753-7205,Waterbury,NEW_HAVEN,For Profit,1,1,60,60,55,0,0,318,298,298,,,,55,0,0,0,2,3,7,14,14,13,2,0,25,30,0,3,26,17,0,9,0,31,10,14,0,0,0,49,0,0,0,0,2,0,0,0,0,0,0,3,1,2013,"145 Grove Street CT 06710- (41.55991840600046, -73.04105466299967)
Waterbury, CT"
CCNH,Ellis Manor,(860) 296-9166,Hartford,HARTFORD,For Profit,1,1,105,105,97,0,0,405,375,,,,,97,0,0,0,2,1,7,17,31,33,6,0,33,64,0,18,20,40,3,16,0,52,15,29,0,0,1,68,0,0,5,0,7,4,0,0,0,0,5,8,0,2013,"210 George Street CT 06114- (41.73171638700046, -72.67842421099965)
Hartford, CT"
CCNH,Salmon Brook Center,(860) 633-5244,Glastonbury,HARTFORD,For Profit,1,1,130,130,120,0,0,413.4,383.4,,,,,120,0,0,0,1,2,5,19,29,56,8,0,31,89,0,35,8,63,0,14,0,112,2,4,0,2,0,46,0,0,7,0,41,0,0,0,9,0,0,11,6,2013,"72 Slamon Brook Drive CT 06033- (41.70852657300048, -72.57162567499967)
Glastonbury, CT"
CCNH,"Aurora Senior Living of Norwalk, LLC",(203) 847-9686,Norwalk,FAIRFIELD,For Profit,1,1,150,150,147,0,0,425,390,,,,,147,0,0,0,1,6,12,21,46,49,12,0,48,99,0,23,5,98,1,20,0,109,29,7,2,0,0,99,0,0,12,0,26,0,0,0,0,0,3,7,0,2013,"34 Midrocks Road CT 06851- (41.14202464500045, -73.41509871699964)
Norwalk, CT"
CCNH,Pilgrim Manor,(860) 635-5511,Cromwell,MIDDLESEX,Non-profit,1,1,60,60,53,0,0,507,421,,,,,53,0,0,0,0,0,0,0,9,27,17,0,6,47,0,4,10,38,0,1,0,53,0,0,0,0,0,21,0,0,3,0,6,0,0,0,0,4,0,19,0,2013,"52 Missionary Road CT 06416- (41.60056866500048, -72.65956198099963)
Cromwell, CT"
CCNH,Wilton Meadows Health Care Center,(203) 834-0199,Wilton,FAIRFIELD,For Profit,1,1,148,148,130,0,0,495,468,,,,,130,0,0,0,2,1,7,11,40,58,11,0,29,101,0,21,14,82,1,12,0,120,8,1,1,0,0,76,0,0,5,0,22,1,0,0,0,0,7,17,2,2013,"439 Danbury Road, Route 7 CT 06897- (41.21666370000048, -73.42912083499965)
Wilton, CT"
CCNH,Pendleton Health and Rehabilitation Center,(860) 572-1700,Mystic,NEW_LONDON,For Profit,1,1,120,120,114,0,0,414.5,361.5,,,,,114,0,0,2,0,5,17,19,34,31,6,0,49,65,0,28,28,49,0,9,0,107,5,1,0,1,0,65,0,0,0,0,26,9,4,0,0,0,5,1,4,2013,"44 Maritime Drive CT 06355- (41.36946915200048, -71.95082139199963)
Mystic, CT"
RHNS,"Mattatuck Health Care Facility, Inc.",(203) 573-9924,Waterbury,NEW_HAVEN,For Profit,1,1,43,0,0,43,41,,,,175,170,165,41,0,0,0,0,3,15,8,12,1,2,0,18,23,0,2,20,8,0,11,0,36,3,2,0,0,0,36,0,0,0,0,0,0,4,0,0,0,0,1,0,2013,"9 Cliff Street CT 06710- (41.560697201000494, -73.04582716099964)
Waterbury, CT"
CCNH/RHNS,"Aurora Senior Living of Cromwell, LLC",(860) 635-5613,Cromwell,MIDDLESEX,For Profit,1,1,180,179,169,1,1,401.47,375,,401.47,375,,170,0,0,2,7,22,35,50,27,23,4,0,88,82,0,20,77,29,0,44,0,154,13,2,0,1,0,138,0,0,8,0,8,3,3,0,0,0,0,5,5,2013,"385 Main Street CT 06416- (41.60091627200046, -72.64628506299965)
Cromwell, CT"
CCNH,Long Ridge of Stamford,(203) 329-4026,Stamford,FAIRFIELD,For Profit,1,1,120,120,102,0,0,505,450,,,,,102,0,0,0,1,5,10,14,35,30,7,0,42,60,0,21,20,47,0,14,0,62,31,8,0,0,1,61,0,0,9,0,13,8,5,0,0,0,0,3,3,2013,"710 Long Ridge Road CT 06902- (41.093573499000456, -73.56239951099963)
Stamford, CT"
CCNH,The Reservoir,(860) 561-7022,West Hartford,HARTFORD,For Profit,1,1,75,75,68,0,0,527,495,,,,,68,0,0,1,0,0,4,10,18,28,7,0,29,39,0,21,8,31,0,8,0,58,4,3,0,3,0,22,0,0,3,0,19,7,0,0,1,0,OWNERSHIP TYPE,8,3,2015,"One Emily Way- (41.75659971500045, -72.75192602299967)
West Hartford, CT"
CCNH,Valerie Manor,(860) 489-1008,Torrington,LITCHFIELD,For Profit,1,1,151,151,143,0,0,457,445,,,,,143,0,0,1,0,0,11,17,45,50,19,0,35,108,0,27,17,77,0,22,0,140,2,0,0,1,0,110,0,0,0,0,16,4,0,0,0,0,0,13,0,2013,"1360 Torringford Street CT 06790- (41.82794332500049, -73.07897728399968)
Torrington, CT"
CCNH,Candlewood Valley Health & Rehabilitation Center,(860) 355-0971,New Milford,LITCHFIELD,For Profit,1,1,148,148,140,0,0,,407,,,,,140,0,0,0,0,1,3,16,41,68,11,0,46,94,0,44,10,61,2,23,0,135,2,1,0,1,1,82,0,0,6,0,22,2,0,0,0,1,4,23,0,2013,"30 Park Lane east CT 06776- (41.597738276000484, -73.39985402899964)
New Milford, CT"
CCNH,Paradigm Healthcare Center of Waterbury,(203) 707-5800,Waterbury,NEW_HAVEN,For Profit,1,1,120,120,113,0,0,376,353,335,,,,113,0,1,0,1,8,24,25,27,22,5,0,49,64,0,18,45,35,0,15,0,87,12,12,0,0,2,86,0,0,5,0,11,4,0,0,0,0,2,2,3,2013,"177 Whitewood Road CT 06708- (41.57713387400048, -73.08136531399964)
Waterbury, CT"
CCNH,Village Crest Center for Health and Rehabilitation,(860) 354-9365,New Milford,LITCHFIELD,For Profit,1,1,95,95,79,0,0,393,364,337,,,,79,0,0,0,0,4,6,11,28,25,5,0,21,58,0,14,29,26,1,9,0,75,1,2,1,0,0,52,0,0,8,9,2,0,0,0,0,0,1,7,0,2013,"19 Poplar Street CT 06776- (41.5828277490005, -73.40880610599964)
New Milford, CT"
CCNH,Kimberly Hall South,(860) 688-6443,Windsor,HARTFORD,For Profit,1,1,180,180,111,0,0,348,330,303,,,,111,0,0,0,0,3,18,27,29,25,9,0,47,64,0,25,21,43,1,21,0,77,28,4,0,2,0,60,0,0,6,0,21,3,0,0,0,1,8,11,1,2013,"One Emerson Drive CT 06095- (41.86273950800046, -72.66702896099963)
Windsor, CT"
CCNH,Newington Health Care Center,(860) 667-2256,Newington,HARTFORD,For Profit,1,1,180,180,152,0,0,440,385,,,,,152,0,0,0,1,4,20,24,44,43,16,0,53,99,0,33,30,62,0,27,0,122,11,19,0,0,0,121,0,0,5,0,12,4,0,0,0,0,2,8,0,2013,"240 Church Street CT 06111- (41.66583582600049, -72.73934419899967)
Newington, CT"
CCNH,Astoria Park,(203) 366-3653,Bridgeport,FAIRFIELD,For Profit,1,1,135,135,107,0,0,281,271,251,,,,107,0,0,0,1,4,15,20,38,23,6,0,43,64,0,19,25,40,1,22,0,38,45,24,0,0,0,100,0,0,1,0,2,1,0,0,0,0,0,0,3,2013,"725 Park Avenue CT 06604- (41.17184944100046, -73.19632485499966)
Bridgeport, CT"
CCNH,"Paradigm Healthcare Center of Torrington, LLC",(860) 294-7300,Torrington,LITCHFIELD,For Profit,1,1,75,75,60,0,0,435,424,,,,,60,0,0,1,0,1,9,12,20,13,4,0,27,33,0,7,19,23,2,9,0,56,2,2,0,0,0,49,0,0,4,0,5,0,0,0,0,0,0,2,0,2013,"80 Fern Drive CT 06790- (41.81041387200048, -73.10885760799965)
Torrington, CT"
CCNH,"Orchard Grove Specialty Care Center, LLC",(860) 848-8466,Uncasville,NEW_LONDON,For Profit,1,1,130,130,115,0,0,,410,,,,,115,0,0,0,0,1,11,15,37,34,17,0,30,85,0,16,24,60,1,14,0,89,2,2,0,0,22,83,0,0,6,0,0,14,0,0,0,0,1,8,3,2013,"5 Richard Brown Drive CT 06382- (41.49286796400048, -72.11305574499966)
Uncasville, CT"
CCNH,Evergreen Health Care Center,(860) 684-6341,Stafford Springs,TOLLAND,Non-profit,1,1,180,180,146,0,0,402,390,,,,,146,0,0,0,0,5,4,14,44,68,11,0,31,115,0,36,16,80,0,14,0,144,1,1,0,0,0,80,0,0,7,0,22,10,0,0,0,0,2,14,11,2013,"205 Chestnut Hill Road, Route 190 CT 06076- (41.97757312400046, -72.39085411999963)
Stafford Springs, CT"
CCNH,Laurel Ridge Health Care Center,(203) 438-8226,Ridgefield,FAIRFIELD,For Profit,1,1,126,126,123,0,0,459,429,,,,,123,0,0,0,0,4,10,10,36,53,10,0,34,89,0,24,14,61,1,23,0,114,4,2,0,2,1,89,0,0,0,0,19,3,0,0,0,0,2,10,0,2013,"642 Danbury Road CT 06877- (41.32395266000049, -73.47500354399966)
Ridgefield, CT"
CCNH,Birmingham Health Center,(203) 735-7401,Derby,NEW_HAVEN,For Profit,1,1,120,120,112,0,0,425,400,,,,,112,0,0,0,3,6,19,19,21,32,12,0,51,61,0,16,23,49,2,22,0,90,14,8,0,0,0,91,0,0,0,0,6,0,9,0,0,0,0,5,1,2013,"210 Chatfield Street CT 06418- (41.339052465000464, -73.09441866099962)
Derby, CT"
CCNH,Bel-Air Manor Nursing & Rehabilitation Center,(860) 666-5689,Newington,HARTFORD,For Profit,1,1,71,71,65,0,0,434,393,,,,,65,0,0,0,0,1,2,2,17,36,7,0,12,53,0,11,11,38,0,5,0,63,2,0,0,0,0,27,0,0,3,0,20,7,1,0,0,0,0,7,0,2013,"256 New Britain Avenue CT 06111- (41.67476831500045, -72.73249388399967)
Newington, CT"
CCNH,Filosa for Nursing and Rehabilitation,(203) 744-3366,Danbury,FAIRFIELD,For Profit,1,1,64,64,58,0,0,460,430,,,,,58,0,0,0,0,0,0,2,15,26,15,0,8,50,0,8,5,39,0,6,0,58,0,0,0,0,0,43,0,0,1,0,4,0,0,0,0,3,0,7,0,2013,"13 Hakim Street CT 06810- (41.395274790000485, -73.47332070299967)
Danbury, CT"
CCNH/RHNS,"Miller Memorial Community, Inc.",(203) 237-8815,Meriden,NEW_HAVEN,Non-profit,1,1,93,85,78,8,0,430,375,,320,,,78,0,0,0,0,1,2,5,18,42,10,0,21,57,0,12,14,44,0,8,0,70,1,7,0,0,0,60,0,0,4,0,8,0,0,0,0,0,0,6,0,2013,"360 Broad Street CT 06450- (41.53005209000048, -72.79564353699965)
Meriden, CT"
CCNH,"Whitney Manor Convalescent Center, Inc.",(203) 288-6230,Hamden,NEW_HAVEN,For Profit,1,1,150,150,142,0,0,415,390,,,,,142,0,0,0,0,0,1,5,29,73,34,0,30,112,0,30,15,87,2,8,0,131,9,2,0,0,0,86,0,0,4,0,18,9,0,0,0,0,0,18,7,2013,"2798 Whitney Avenue CT 06518- (41.39865393700046, -72.89742574099967)
Hamden, CT"
CCNH,Apple Rehab Colchester,(860) 537-4606,Colchester,NEW_LONDON,For Profit,1,1,60,60,49,0,0,411.5,391,,,,,49,0,0,0,0,0,1,3,11,31,3,0,11,38,0,7,5,31,0,6,0,46,0,2,0,1,0,30,0,0,3,0,3,2,0,0,0,0,0,7,4,2013,"36 Broadway CT 06415- (41.57673448300045, -72.33337342199962)
Colchester, CT"
CCNH,Jefferson House,(860) 667-4453,Newington,HARTFORD,Non-profit,1,1,104,104,93,0,0,438,412,,,,,93,0,0,0,0,0,0,8,20,39,26,0,11,82,0,6,6,79,0,2,0,92,0,1,0,0,0,50,0,0,5,0,13,2,0,0,0,0,2,21,0,2013,"1 John H. Stewart Drive CT 06111- (41.69613254100045, -72.71866552199964)
Newington, CT"
CCNH,Greentree Manor Nursing and Rehabilitation Center,(860) 442-0647,Waterford,NEW_LONDON,For Profit,1,1,90,90,81,0,0,403,377,,,,,81,0,0,0,0,2,2,4,28,30,15,0,21,60,0,18,7,44,0,12,0,76,3,1,0,1,0,42,0,0,2,0,13,4,0,0,0,2,0,10,8,2013,"4 Greentree Drive CT 06385- (41.394397408000486, -72.14313399999963)
Waterford, CT"
CCNH,Apple Rehab Avon,(860) 673-3265,Avon,HARTFORD,For Profit,1,1,60,60,54,0,0,411.5,398,,,,,54,0,0,0,0,0,1,9,12,22,10,0,12,42,0,12,7,33,0,2,0,50,0,0,0,0,4,31,0,0,8,0,7,0,0,0,0,0,3,5,0,2013,"220 Scoville Road CT 06001- (41.77572779100046, -72.86249431799968)
Avon, CT"
CCNH,Aaron Manor Nursing and Rehabilitation Center,(860) 526-5316,Chester,MIDDLESEX,For Profit,1,1,60,60,56,0,0,383,354,,,,,56,0,0,0,0,1,0,3,11,37,4,0,12,44,0,14,7,30,0,5,0,55,1,0,0,0,0,23,0,0,4,0,9,0,0,0,0,0,1,19,0,2013,"3 South Wig Hill Road CT 06412- (41.40065890700049, -72.47492663399964)
Chester, CT"
CCNH,Portland  Care and Rehabilitation Centre,(860) 342-0370,Portland,MIDDLESEX,For Profit,1,1,65,65,60,0,0,365,345,325,,,,60,0,0,0,0,0,2,6,20,27,5,0,19,41,0,9,9,33,1,8,0,54,3,2,0,1,0,28,0,0,6,0,8,4,0,0,2,0,0,12,0,2013,"333 Main Street CT 06480- (41.57867136200048, -72.63623262999965)
Portland, CT"
CCNH,"Chelsea Place Care Center, LLC",(860) 233-8241,Hartford,HARTFORD,For Profit,1,1,234,234,217,0,0,394,370,,,,,217,0,0,4,6,22,86,64,28,7,0,0,151,66,0,9,58,53,0,97,0,83,89,44,0,1,0,199,0,0,6,0,11,0,0,0,0,0,0,1,0,2013,"25 Lorraine Street CT 06105- (41.767658361000485, -72.70547287499966)
Hartford, CT"
CCNH,"Paradigm Healthcare Center of New Haven, LLC",(203) 907-3550,New Haven,NEW_HAVEN,For Profit,1,1,150,150,146,0,0,382,328,311,,,,146,0,0,0,4,17,38,38,28,17,4,0,76,70,0,20,74,23,6,23,0,71,54,15,1,0,5,128,0,0,3,0,10,3,0,0,0,0,0,1,1,2013,"181 Clifton Street CT 06513- (41.309214976000476, -72.87915631299967)
New Haven, CT"
CCNH,Riverside Health and Rehabilitation Center,(860) 289-2791,East Hartford,HARTFORD,For Profit,1,1,345,345,323,0,0,420,400,,,,,323,0,1,1,9,21,43,72,77,85,14,0,132,191,0,69,94,95,0,65,0,198,60,57,1,4,3,241,0,0,20,0,26,25,0,0,0,0,0,11,0,2013,"745 Main Street CT 06108- (41.76656976300046, -72.64546597799966)
East Hartford, CT"
CCNH,Meadow Ridge,(203) 544-1000,Redding,FAIRFIELD,For Profit,1,0,62,62,56,0,0,545.95,441.95,,,,,56,0,0,0,0,0,0,2,12,37,5,0,23,33,0,20,0,36,0,0,0,55,0,0,0,1,0,0,0,0,0,0,21,0,0,24,4,0,0,7,0,2013,"100 Redding Road CT 06896- (41.26225488200049, -73.42571123199963)
Redding, CT"
CCNH,The Willows,(203) 387-0076,Woodbridge,NEW_HAVEN,For Profit,1,1,90,90,84,0,0,528,470,,,,,84,0,0,0,0,0,2,12,24,38,8,0,30,54,0,21,10,44,2,7,0,72,11,0,0,0,1,39,0,0,2,0,30,8,0,0,0,0,0,3,2,2013,"225 Amity Road CT 06525- (41.34180265700047, -72.98307830599964)
Woodbridge, CT"
CCNH,Touchpoints at Bloomfield,(860) 243-9591,Bloomfield,HARTFORD,For Profit,1,1,150,150,138,0,0,424,403,,,,,138,0,0,2,0,22,38,41,16,17,2,0,66,72,0,16,65,31,0,26,0,67,59,11,0,0,1,118,0,0,5,0,11,0,0,0,0,0,0,1,3,2013,"140 Park Avenue CT 06002- (41.82298747700048, -72.70374790899967)
Bloomfield, CT"
